Tasks 	 	Inter 	 	Assis 	 	Goal 	 	Home 	 	InitM

t2		 j		 w		 4		 2		 0
t2		 j		 wo		 2		 1		 3
t2		 j		 wo		 1		 1		 3
t2		 j		 w		 2		 2		 0
t2		 j		 wo		 4		 2		 2
t2		 j		 w		 3		 1		 0
t2		 h		 w		 1		 2		 0
t2		 h		 wo		 4		 4		 6
t2		 h		 w		 4		 4		 0
t2		 h		 wo		 1		 4		 5
t2		 h		 w		 3		 4		 0
t2		 h		 wo		 5		 2		 1
********************************
t2		 j		 od		 2		 2		 2
t2		 j		 od		 1		 1		 4
t2		 h		 od		 5		 3		 5
t2		 h		 od		 3		 2		 5
################################
################################
t1		 j		 w		 3		 2		 0
t1		 j		 wo		 1		 4		 3
t1		 j		 wo		 2		 4		 2
t1		 j		 w		 2		 3		 0
t1		 j		 wo		 3		 2		 3
t1		 j		 w		 1		 1		 0
t1		 h		 wo		 3		 3		 4
t1		 h		 w		 3		 2		 0
t1		 h		 wo		 2		 4		 6
t1		 h		 w		 2		 2		 0
t1		 h		 wo		 4		 2		 4
t1		 h		 w		 1		 3		 0
********************************
t1		 j		 od		 3		 1		 1
t1		 j		 od		 2		 4		 3
t1		 h		 od		 4		 3		 4
t1		 h		 od		 3		 4		 3
