Tasks 	 	Inter 	 	Assis 	 	Goal 	 	Home 	 	InitM

t2		 j		 wo		 4		 1		 4
t2		 j		 w		 1		 2		 0
t2		 j		 wo		 3		 2		 1
t2		 j		 w		 5		 1		 0
t2		 j		 wo		 3		 1		 1
t2		 j		 w		 5		 3		 0
t2		 h		 wo		 1		 1		 1
t2		 h		 w		 4		 3		 0
t2		 h		 w		 3		 1		 0
t2		 h		 wo		 2		 1		 2
t2		 h		 wo		 5		 3		 5
t2		 h		 w		 4		 3		 0
********************************
t2		 j		 od		 4		 1		 4
t2		 j		 od		 1		 2		 2
t2		 h		 od		 4		 4		 3
t2		 h		 od		 1		 4		 1
################################
################################
t1		 h		 wo		 4		 4		 3
t1		 h		 w		 3		 2		 0
t1		 h		 w		 3		 1		 0
t1		 h		 wo		 4		 2		 1
t1		 h		 wo		 1		 2		 2
t1		 h		 w		 2		 3		 0
t1		 j		 w		 3		 4		 0
t1		 j		 wo		 3		 1		 1
t1		 j		 wo		 2		 2		 1
t1		 j		 w		 1		 1		 0
t1		 j		 wo		 2		 1		 4
t1		 j		 w		 4		 4		 0
********************************
t1		 h		 od		 3		 3		 2
t1		 h		 od		 4		 4		 6
t1		 j		 od		 4		 2		 2
t1		 j		 od		 3		 4		 2
